256	22890	11.718750	9.666667
512	41386	31.250000	11.200000
768	56197	48.437500	12.991935
1024	70889	50.781250	16.092308
1280	83859	57.421875	14.081633
1536	96056	60.156250	12.967532
1792	106998	66.406250	13.776471
2048	119006	61.328125	13.426752
2304	129173	69.140625	12.807910
2560	139179	68.750000	11.397727
2816	149140	69.531250	12.140449
3072	159623	66.406250	11.076471
3328	168540	73.437500	11.260638
3584	178757	67.968750	11.591954
3840	186867	77.734375	12.110553
4096	195163	76.171875	11.261538
4352	203640	75.390625	11.279793
4608	213358	70.312500	11.766667
4864	223250	69.140625	11.254237
5120	232930	70.312500	11.555556
5376	242345	71.093750	11.071429
5632	251816	70.703125	10.889503
5888	261125	71.484375	10.978142
6144	271022	69.531250	11.780899
6400	280441	70.703125	10.602210
6656	290044	70.312500	11.127778
6912	300457	66.406250	10.664706
7168	308974	73.828125	9.613757
7424	318466	70.312500	10.511111
7680	327930	70.312500	10.355556
7936	336544	74.218750	10.600000
8192	345689	71.484375	10.081967
8448	355700	66.796875	8.836257
8704	366401	64.843750	10.246988
8960	376290	67.968750	9.706897
