256	22917	12.500000	16.156250
512	42959	28.515625	23.863014
768	60885	38.671875	22.484848
1024	79227	38.281250	25.938776
1280	98004	35.156250	24.188889
1536	116472	36.718750	24.127660
1792	134086	38.671875	19.333333
2048	150550	45.703125	21.914530
2304	167757	42.187500	22.287037
2560	182326	56.640625	23.924138
2816	196395	60.156250	25.123377
3072	211152	56.250000	24.701389
3328	225755	55.859375	23.097902
3584	239120	62.500000	23.531250
3840	253918	57.421875	26.517007
4096	267080	64.062500	24.158537
4352	279899	64.062500	22.067073
4608	292306	66.796875	22.847953
4864	305428	62.890625	22.496894
5120	318212	66.015625	24.165680
5376	330928	64.453125	21.915152
