Quizzes	Answered	Accuracy	Length
59904	369390	100	4.421875
60160	370485	100	4.277344
60416	371597	100	4.34375
60672	372743	100	4.476563
60928	373863	100	4.375
61184	374974	100	4.339844
61440	376071	100	4.285156
61696	377213	100	4.460938
61952	378351	100	4.445313
62208	379448	100	4.285156
62464	380606	100	4.523438
62720	381727	100	4.378906
62976	382830	100	4.308594
63232	383928	100	4.289063
63488	385046	100	4.367188
63744	386171	100	4.394531
64000	387252	100	4.222656
64256	388362	100	4.335938
64512	389495	100	4.425781
64768	390633	100	4.445313
65024	391754	100	4.378906
65280	392863	100	4.332031
65536	394011	100	4.484375
65792	395118	100	4.324219
66048	396231	100	4.347656
66304	397324	100	4.269531
66560	398459	100	4.433594
66816	399555	100	4.28125
67072	400611	100	4.125
67328	401762	100	4.496094
67584	402849	100	4.246094
67840	403943	100	4.273438
68096	405029	100	4.242188
68352	406128	100	4.292969
68608	407235	100	4.324219
68864	408322	100	4.246094
69120	409477	100	4.511719
69376	410650	100	4.582031
69632	411732	100	4.226563
69888	412902	100	4.570313
70144	413969	100	4.167969
70400	415087	100	4.367188
70656	416201	100	4.351563
70912	417316	100	4.355469
71168	418447	100	4.417969
71424	419566	100	4.371094
71680	420674	100	4.328125
71936	421780	100	4.320313
72192	422838	100	4.132813
72448	423963	100	4.394531
72704	425081	100	4.367188
72960	426201	100	4.375
73216	427296	100	4.277344
73472	428412	100	4.359375
73728	429506	100	4.273438
73984	430658	100	4.5
74240	431736	100	4.210938
74496	432891	100	4.511719
74752	433990	100	4.292969
75008	435073	100	4.230469
75264	436218	100	4.472656
75520	437349	100	4.417969
75776	438460	100	4.339844
76032	439506	100	4.085938
76288	440619	100	4.347656
76544	441727	100	4.328125
76800	442825	100	4.289063
77056	443892	100	4.167969
77312	445010	100	4.367188
77568	446125	100	4.355469
77824	447228	100	4.308594
78080	448332	100	4.3125
78336	449447	100	4.355469
78592	450518	100	4.183594
78848	451626	100	4.328125
79104	452710	100	4.234375
79360	453793	100	4.230469
79616	454886	100	4.269531
79872	456025	100	4.449219
80128	457131	100	4.320313
80384	458230	100	4.292969
80640	459352	100	4.382813
80896	460414	100	4.148438
81152	461521	100	4.324219
81408	462644	100	4.386719
81664	463767	100	4.386719
81920	464883	100	4.359375
82176	466005	100	4.382813
82432	467128	100	4.386719
82688	468254	100	4.398438
82944	469364	100	4.335938
83200	470441	100	4.207031
83456	471552	100	4.339844
83712	472645	100	4.269531
83968	473740	100	4.277344
84224	474851	100	4.339844
84480	475961	100	4.335938
84736	477081	100	4.375
84992	478201	100	4.375
85248	479326	100	4.394531
85504	480437	100	4.339844
85760	481520	100	4.230469
86016	482645	100	4.394531
86272	483756	100	4.339844
86528	484898	100	4.460938
86784	486005	100	4.324219
87040	487163	100	4.523438
87296	488284	100	4.378906
87552	489425	100	4.457031
87808	490484	100	4.136719
88064	491594	100	4.335938
88320	492725	100	4.417969
88576	493843	100	4.367188
88832	494939	100	4.28125
89088	496038	100	4.292969
89344	497165	100	4.402344
89600	498189	100	4
89856	499355	100	4.554688
90112	500440	100	4.238281
90368	501574	100	4.429688
90624	502747	100	4.582031
90880	503846	100	4.292969
91136	504968	100	4.382813
91392	506029	100	4.144531
91648	507104	100	4.199219
91904	508225	100	4.378906
92160	509323	100	4.289063
92416	510400	100	4.207031
92672	511534	100	4.429688
92928	512622	100	4.25
93184	513696	100	4.195313
93440	514778	100	4.226563
93696	515865	100	4.246094
93952	516982	100	4.363281
94208	518095	100	4.347656
94464	519205	100	4.335938
94720	520351	100	4.476563
94976	521438	100	4.246094
95232	522567	100	4.410156
95488	523690	100	4.386719
95744	524843	100	4.503906
96000	525944	100	4.300781
96256	527061	100	4.363281
96512	528213	100	4.5
96768	529358	100	4.472656
97024	530461	100	4.308594
97280	531550	100	4.253906
97536	532706	100	4.515625
97792	533860	100	4.507813
98048	535003	100	4.464844
98304	536121	100	4.367188
98560	537155	100	4.039063
98816	538259	100	4.3125
99072	539375	100	4.359375
99328	540507	100	4.421875
99584	541609	100	4.304688
99840	542703	100	4.273438
